code_range,chapter_name
A00-B99,Certain infectious and parasitic diseases
C00-D49,Neoplasms
D50-D89,Diseases of the blood
E00-E89,"Endocrine, nutritional and metabolic diseases"
F01-F99,"Mental, behavioral and neurodevelopmental disorders"
G00-G99,Diseases of the nervous system
H00-H59,Diseases of the eye and adnexa
H60-H95,Diseases of the ear and mastoid process
I00-I99,Diseases of the circulatory system
J00-J99,Diseases of the respiratory system
K00-K95,Diseases of the digestive system
L00-L99,Diseases of the skin and subcutaneous tissue
M00-M99,Diseases of the musculoskeletal system
N00-N99,Diseases of the genitourinary system
O00-O9A,"Pregnancy, childbirth and the puerperium"
P00-P96,Certain conditions originating in the perinatal period
Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities"
R00-R99,"Symptoms, signs and abnormal clinical findings"
S00-T88,"Injury, poisoning and certain other consequences of external causes"
V00-Y99,External causes of morbidity
Z00-Z99,Factors influencing health status
